Date,Description,Category,Amount
2023-05-31,"Transaction 82","Cable TV",-35.51
2022-08-29,"Transaction 83",Income,838.04
2023-08-26,"Transaction 84",Entertainment,-34.57
2022-12-13,"Transaction 85","Dental Care",-24.06
2022-08-02,"Transaction 86",Income,581.31
2023-12-08,"Transaction 87","Coffee Shops",-28.00
2022-01-02,"Transaction 88",Groceries,-24.20
2024-02-03,"Transaction 89",Daycare,-10.30
2022-10-29,"Transaction 90",Income,655.64
2024-02-16,"Transaction 91","Dental Care",-26.20
2022-10-12,"Transaction 92",Groceries,-32.08
2023-08-24,"Transaction 93","Dental Care",-31.78
2023-07-15,"Transaction 94",Entertainment,-33.86
2022-03-25,"Transaction 95",Daycare,-12.17
2023-09-18,"Transaction 96",Daycare,-19.93
2023-09-06,"Transaction 97",Daycare,-45.64
2024-01-11,"Transaction 98","Coffee Shops",-24.48
2022-06-13,"Transaction 99",Groceries,-49.59
2022-05-19,"Transaction 100","Auto Loan",-45.24
2023-06-11,"Transaction 101","Coffee Shops",-38.66
2024-02-01,"Transaction 102","Auto Loan",-12.69
2022-01-22,"Transaction 103","Dental Care",-17.17
2022-05-16,"Transaction 104",Income,755.06
2023-01-05,"Transaction 105",Entertainment,-32.74
2024-01-07,"Transaction 106",Entertainment,-37.50
2022-11-10,"Transaction 107",Entertainment,-17.69
2022-05-02,"Transaction 108","Auto Loan",-48.66
2022-03-19,"Transaction 109",Income,314.53
2023-07-23,"Transaction 110","Coffee Shops",-34.15
2022-10-28,"Transaction 111","Dental Care",-41.88
2022-01-01,"Transaction 112",Groceries,-36.00
2022-12-17,"Transaction 113",Income,218.61
2024-02-01,"Transaction 114","Cable TV",-34.13
2022-07-10,"Transaction 115","Cable TV",-16.10
2022-06-28,"Transaction 116",Daycare,-11.98
2022-10-01,"Transaction 117","Dental Care",-45.56
2022-10-29,"Transaction 118","Auto Loan",-41.25
2024-01-28,"Transaction 119",Income,823.40
2023-02-13,"Transaction 120","Auto Loan",-42.79
2023-01-31,"Transaction 121","Coffee Shops",-43.75
2022-10-16,"Transaction 122",Daycare,-27.69
2023-04-08,"Transaction 123",Groceries,-37.84
2023-12-05,"Transaction 124",Income,616.38
2022-10-24,"Transaction 125","Coffee Shops",-34.83
2023-06-30,"Transaction 126",Groceries,-30.66
2022-12-30,"Transaction 127",Daycare,-13.90
2023-09-17,"Transaction 128",Entertainment,-33.91
2022-05-25,"Transaction 129",Income,949.59
2022-02-20,"Transaction 130","Auto Loan",-49.47
2023-05-02,"Transaction 131",Entertainment,-39.34
2023-02-07,"Transaction 132",Daycare,-47.85
2022-05-14,"Transaction 133","Auto Loan",-44.06
2022-03-01,"Transaction 134","Auto Loan",-33.72
2023-01-09,"Transaction 135","Coffee Shops",-33.64
2022-04-17,"Transaction 136","Auto Loan",-42.81
2023-02-28,"Transaction 137","Dental Care",-13.63
2023-04-20,"Transaction 138",Daycare,-36.74
2022-04-06,"Transaction 139",Groceries,-43.43
2023-12-15,"Transaction 140",Entertainment,-45.56
2022-06-17,"Transaction 141",Entertainment,-25.15
2023-01-29,"Transaction 142","Auto Loan",-15.55
2022-01-09,"Transaction 143",Groceries,-36.54
2022-04-01,"Transaction 144","Auto Loan",-25.08
2023-11-29,"Transaction 145",Entertainment,-41.93
2023-02-25,"Transaction 146","Cable TV",-45.77
2023-08-20,"Transaction 147",Daycare,-24.00
2022-02-15,"Transaction 148","Cable TV",-33.88
2022-12-29,"Transaction 149",Income,750.32
2022-05-12,"Transaction 150","Cable TV",-26.19
2023-03-13,"Transaction 151",Daycare,-16.32
2023-10-16,"Transaction 152",Groceries,-44.87
2024-01-26,"Transaction 153","Cable TV",-44.55
2022-12-01,"Transaction 154","Coffee Shops",-24.57
2023-03-19,"Transaction 155",Groceries,-36.53
2022-12-12,"Transaction 156",Income,349.37
2023-05-03,"Transaction 157","Auto Loan",-24.12
2022-09-20,"Transaction 158","Auto Loan",-25.87
2023-06-07,"Transaction 159",Entertainment,-25.69
2022-11-23,"Transaction 160",Daycare,-28.17
2023-12-14,"Transaction 161",Groceries,-31.56
2022-01-07,"Transaction 162","Cable TV",-46.51
2023-02-04,"Transaction 163",Daycare,-17.55
2022-12-05,"Transaction 164","Cable TV",-40.27
2022-06-22,"Transaction 165","Auto Loan",-18.65
2022-10-10,"Transaction 166","Coffee Shops",-35.14
2023-03-21,"Transaction 167",Income,454.31
2023-04-27,"Transaction 168",Daycare,-10.36
2023-10-03,"Transaction 169",Daycare,-45.84
2022-08-25,"Transaction 170",Groceries,-40.90
2022-10-28,"Transaction 171","Dental Care",-17.08
2022-11-20,"Transaction 172",Entertainment,-24.10
2022-08-17,"Transaction 173","Cable TV",-38.77
2023-01-04,"Transaction 174",Groceries,-11.87
2023-01-08,"Transaction 175","Coffee Shops",-49.14
2022-08-03,"Transaction 176",Entertainment,-27.85
2023-05-26,"Transaction 177","Coffee Shops",-17.18
2023-11-19,"Transaction 178","Auto Loan",-30.95
2022-09-25,"Transaction 179",Daycare,-47.76
2023-06-09,"Transaction 180","Dental Care",-38.93
2022-11-05,"Transaction 181",Entertainment,-46.68
2023-03-20,"Transaction 182",Groceries,-23.32
2023-08-24,"Transaction 183","Cable TV",-17.52
2024-02-03,"Transaction 184","Auto Loan",-33.42
2023-06-08,"Transaction 185","Auto Loan",-30.77
2022-01-21,"Transaction 186","Dental Care",-29.99
2023-02-10,"Transaction 187",Daycare,-11.32
2023-07-13,"Transaction 188","Auto Loan",-17.07
2022-08-16,"Transaction 189","Dental Care",-40.73
2023-04-27,"Transaction 190",Entertainment,-31.28
2022-02-15,"Transaction 191",Groceries,-21.39
2023-07-29,"Transaction 192","Dental Care",-42.00
2022-10-13,"Transaction 193",Income,441.68
2023-05-16,"Transaction 194","Dental Care",-23.88
2022-01-11,"Transaction 195","Cable TV",-46.14
2022-11-20,"Transaction 196",Income,500.50
2023-06-09,"Transaction 197","Auto Loan",-18.19
2023-11-24,"Transaction 198","Dental Care",-31.86
2024-02-11,"Transaction 199",Income,997.41
2022-01-25,"Transaction 200","Dental Care",-36.29
2022-07-01,"Transaction 201",Daycare,-36.32
2024-01-26,"Transaction 202",Daycare,-23.54
2023-10-26,"Transaction 203","Auto Loan",-31.30
2022-03-12,"Transaction 204","Dental Care",-26.90
2024-02-26,"Transaction 205",Groceries,-47.63
2022-05-22,"Transaction 206",Daycare,-39.04
2023-12-05,"Transaction 207","Dental Care",-15.01
2022-10-20,"Transaction 208",Income,226.65
2024-02-21,"Transaction 209",Income,826.86
2023-10-31,"Transaction 210",Income,961.93
2022-03-10,"Transaction 211",Entertainment,-33.48
2023-10-02,"Transaction 212","Coffee Shops",-42.24
2023-04-15,"Transaction 213",Groceries,-41.17
2023-10-08,"Transaction 214",Groceries,-17.52
2022-06-20,"Transaction 215","Dental Care",-41.32
2022-10-04,"Transaction 216",Entertainment,-12.91
2022-01-07,"Transaction 217",Groceries,-36.13
2022-10-03,"Transaction 218",Income,725.53
2022-11-05,"Transaction 219",Groceries,-34.69
2023-10-13,"Transaction 220","Dental Care",-22.28
2022-06-14,"Transaction 221","Cable TV",-16.12
2022-07-01,"Transaction 222",Daycare,-28.59
2023-03-01,"Transaction 223",Entertainment,-25.26
2023-06-07,"Transaction 224","Dental Care",-17.15
2022-02-28,"Transaction 225",Groceries,-21.33
2022-06-17,"Transaction 226",Daycare,-31.21
2022-02-10,"Transaction 227",Groceries,-34.33
2023-03-22,"Transaction 228",Groceries,-38.06
2022-12-13,"Transaction 229",Daycare,-40.54
2023-10-13,"Transaction 230","Cable TV",-40.99
2023-12-07,"Transaction 231",Groceries,-25.35
2022-02-06,"Transaction 232",Income,389.70
2022-09-20,"Transaction 233","Auto Loan",-13.24
2023-08-17,"Transaction 234","Cable TV",-15.91
2022-10-14,"Transaction 235","Auto Loan",-41.74
2024-02-22,"Transaction 236","Dental Care",-23.11
2022-01-02,"Transaction 237","Dental Care",-46.60
2023-12-01,"Transaction 238",Groceries,-11.64
2023-09-03,"Transaction 239","Dental Care",-49.03
2023-04-13,"Transaction 240",Income,559.64
2022-10-02,"Transaction 241","Cable TV",-16.49
2022-12-16,"Transaction 242",Income,685.21
2023-04-05,"Transaction 243",Income,307.28
2022-04-22,"Transaction 244",Entertainment,-11.99
2023-10-31,"Transaction 245",Entertainment,-12.15
2022-04-01,"Transaction 246","Auto Loan",-16.41
2023-02-11,"Transaction 247","Dental Care",-12.95
2022-08-19,"Transaction 248","Coffee Shops",-44.44
2023-11-27,"Transaction 249",Entertainment,-15.83
2022-04-24,"Transaction 250","Auto Loan",-18.37
2022-10-11,"Transaction 251","Auto Loan",-46.90
2022-10-08,"Transaction 252",Income,609.10
2023-06-16,"Transaction 253",Entertainment,-47.84
2023-02-12,"Transaction 254",Daycare,-40.39
2022-10-18,"Transaction 255","Auto Loan",-22.93
2022-04-07,"Transaction 256","Coffee Shops",-19.40
2023-06-27,"Transaction 257","Cable TV",-44.01
2022-03-27,"Transaction 258","Coffee Shops",-46.38
2023-01-23,"Transaction 259",Daycare,-48.40
2023-09-07,"Transaction 260",Entertainment,-15.79
2023-08-08,"Transaction 261","Auto Loan",-36.19
2022-01-12,"Transaction 262","Coffee Shops",-20.24
2023-01-12,"Transaction 263","Dental Care",-44.25
2022-04-04,"Transaction 264",Groceries,-38.52
2022-07-26,"Transaction 265",Groceries,-25.26
2023-11-07,"Transaction 266",Groceries,-17.85
2022-05-30,"Transaction 267","Cable TV",-48.50
2023-05-25,"Transaction 268","Cable TV",-40.28
2023-11-02,"Transaction 269","Auto Loan",-42.63
2022-08-02,"Transaction 270","Cable TV",-40.96
2022-03-27,"Transaction 271","Coffee Shops",-38.44
2022-11-19,"Transaction 272","Cable TV",-21.93
2023-08-05,"Transaction 273",Entertainment,-13.17
2023-03-09,"Transaction 274","Coffee Shops",-26.58
2023-08-21,"Transaction 275","Cable TV",-23.61
2024-01-31,"Transaction 276","Cable TV",-28.95
2023-02-13,"Transaction 277","Coffee Shops",-10.55
2023-02-02,"Transaction 278","Coffee Shops",-31.25
2024-02-18,"Transaction 279",Groceries,-44.21
2022-08-28,"Transaction 280",Groceries,-18.40
2023-09-04,"Transaction 281",Income,838.70
2024-02-14,"Transaction 282","Coffee Shops",-18.25
2023-08-10,"Transaction 283","Dental Care",-26.79
2023-05-27,"Transaction 284",Income,672.86
2022-06-07,"Transaction 285","Coffee Shops",-40.65
2023-02-16,"Transaction 286",Groceries,-47.41
2022-10-26,"Transaction 287",Daycare,-43.28
2023-11-01,"Transaction 288","Dental Care",-20.82
2022-03-13,"Transaction 289",Daycare,-26.42
2022-01-25,"Transaction 290","Auto Loan",-38.27
2023-04-27,"Transaction 291",Groceries,-27.79
2022-08-09,"Transaction 292","Dental Care",-31.63
2023-03-10,"Transaction 293","Dental Care",-43.34
2022-09-09,"Transaction 294","Auto Loan",-23.92
2022-11-07,"Transaction 295","Coffee Shops",-23.79
2023-03-02,"Transaction 296",Entertainment,-20.73
2023-08-07,"Transaction 297","Cable TV",-43.78
2023-09-11,"Transaction 298","Dental Care",-15.66
2022-12-23,"Transaction 299","Auto Loan",-31.41
2023-06-28,"Transaction 300","Dental Care",-22.82
2022-01-05,"Transaction 301",Entertainment,-14.95
2023-11-27,"Transaction 302",Entertainment,-46.49
2023-01-02,"Transaction 303","Coffee Shops",-23.12
2022-10-22,"Transaction 304","Dental Care",-13.66
2023-05-12,"Transaction 305",Daycare,-25.53
2022-02-16,"Transaction 306",Income,846.52
2024-01-17,"Transaction 307",Entertainment,-12.88
2022-05-07,"Transaction 308",Groceries,-23.30
2022-12-19,"Transaction 309",Income,212.98
2022-10-02,"Transaction 310",Groceries,-45.03
2022-12-12,"Transaction 311","Coffee Shops",-33.74
2022-03-21,"Transaction 312",Groceries,-29.54
2022-06-30,"Transaction 313","Dental Care",-45.21
2023-08-07,"Transaction 314","Cable TV",-18.03
2022-04-29,"Transaction 315","Dental Care",-25.49
2023-05-02,"Transaction 316","Auto Loan",-12.84
2022-06-06,"Transaction 317","Dental Care",-36.13
2022-06-14,"Transaction 318","Cable TV",-20.05
2022-05-03,"Transaction 319",Income,311.62
2023-06-09,"Transaction 320","Dental Care",-12.56
2023-08-29,"Transaction 321","Coffee Shops",-15.06
2022-08-27,"Transaction 322","Cable TV",-39.82
2023-03-14,"Transaction 323","Dental Care",-14.47
2022-12-20,"Transaction 324","Dental Care",-34.22
2023-10-21,"Transaction 325",Entertainment,-42.60
2022-06-19,"Transaction 326",Income,797.99
2022-01-26,"Transaction 327","Coffee Shops",-38.50
2022-06-05,"Transaction 328","Auto Loan",-12.39
2022-10-23,"Transaction 329","Cable TV",-48.55
2022-06-03,"Transaction 330",Entertainment,-13.51
2022-06-30,"Transaction 331",Income,942.41
2022-12-31,"Transaction 332",Groceries,-25.33
2023-07-04,"Transaction 333","Coffee Shops",-25.16
2022-09-02,"Transaction 334",Daycare,-19.32
2022-07-16,"Transaction 335","Dental Care",-28.68
2022-08-04,"Transaction 336",Daycare,-17.46
2023-02-23,"Transaction 337",Entertainment,-10.38
2022-07-02,"Transaction 338","Dental Care",-37.92
2022-03-07,"Transaction 339",Entertainment,-27.45
2023-01-07,"Transaction 340",Daycare,-48.14
2023-05-18,"Transaction 341","Auto Loan",-33.80
2022-05-04,"Transaction 342","Dental Care",-14.96
2022-05-18,"Transaction 343","Cable TV",-47.27
2023-05-15,"Transaction 344","Coffee Shops",-38.15
2022-07-01,"Transaction 345","Cable TV",-13.11
2023-08-17,"Transaction 346",Daycare,-33.51
2022-10-05,"Transaction 347","Coffee Shops",-17.53
2022-01-28,"Transaction 348","Auto Loan",-32.50
2022-03-31,"Transaction 349","Coffee Shops",-12.89
2023-03-14,"Transaction 350",Entertainment,-23.48
2023-09-27,"Transaction 351","Cable TV",-21.01
2023-11-18,"Transaction 352",Groceries,-21.02
2023-03-17,"Transaction 353","Coffee Shops",-48.39
2023-04-28,"Transaction 354","Auto Loan",-23.18
2023-01-16,"Transaction 355","Dental Care",-35.67
2022-07-17,"Transaction 356",Entertainment,-19.75
2022-12-23,"Transaction 357","Coffee Shops",-14.22
2022-10-11,"Transaction 358",Entertainment,-43.43
2023-07-11,"Transaction 359",Income,525.96
2022-01-12,"Transaction 360","Dental Care",-13.40
2023-10-14,"Transaction 361","Dental Care",-14.26
2023-06-02,"Transaction 362","Auto Loan",-36.60
2023-06-27,"Transaction 363","Auto Loan",-21.52
2024-02-11,"Transaction 364","Dental Care",-39.62
2022-05-10,"Transaction 365","Cable TV",-43.89
2023-06-11,"Transaction 366",Income,949.21
2022-01-02,"Transaction 367",Entertainment,-20.98
2022-07-16,"Transaction 368","Auto Loan",-29.85
2023-02-13,"Transaction 369",Groceries,-18.22
2023-11-14,"Transaction 370","Auto Loan",-38.01
2022-12-31,"Transaction 371","Auto Loan",-35.47
2023-07-27,"Transaction 372",Daycare,-41.49
2023-01-04,"Transaction 373",Income,215.04
2022-06-01,"Transaction 374","Cable TV",-25.34
2023-08-29,"Transaction 375",Daycare,-38.71
2022-08-29,"Transaction 376",Entertainment,-30.61
2022-09-07,"Transaction 377",Entertainment,-28.75
2023-06-28,"Transaction 378",Income,353.70
2023-10-28,"Transaction 379","Dental Care",-14.81
2022-08-15,"Transaction 380","Cable TV",-29.30
2023-10-08,"Transaction 381","Dental Care",-13.06
2024-01-27,"Transaction 382","Auto Loan",-24.96
2022-10-20,"Transaction 383",Daycare,-15.87
2022-09-23,"Transaction 384",Daycare,-47.29
2024-02-05,"Transaction 385",Daycare,-25.01
2022-07-08,"Transaction 386",Groceries,-13.14
2022-05-18,"Transaction 387",Income,737.85
2023-07-21,"Transaction 388","Dental Care",-11.12
2022-08-21,"Transaction 389","Auto Loan",-41.84
2022-06-25,"Transaction 390","Coffee Shops",-17.58
2022-10-04,"Transaction 391","Coffee Shops",-11.30
2023-01-05,"Transaction 392",Groceries,-24.14
2023-03-06,"Transaction 393","Cable TV",-24.02
2022-02-26,"Transaction 394","Cable TV",-41.41
2023-01-22,"Transaction 395",Income,233.65
2023-07-06,"Transaction 396",Income,430.06
2023-10-13,"Transaction 397",Entertainment,-35.02
2023-03-20,"Transaction 398","Auto Loan",-41.44
2023-07-27,"Transaction 399","Dental Care",-28.66
2022-12-26,"Transaction 400",Groceries,-40.97
2023-01-28,"Transaction 401","Auto Loan",-11.98
2023-11-04,"Transaction 402","Coffee Shops",-42.42
2022-09-19,"Transaction 403","Auto Loan",-31.59
2024-01-20,"Transaction 404","Auto Loan",-45.54
2022-02-19,"Transaction 405","Coffee Shops",-21.02
2022-04-13,"Transaction 406","Auto Loan",-36.92
2022-12-03,"Transaction 407","Dental Care",-32.94
2022-05-26,"Transaction 408","Coffee Shops",-10.94
2023-04-05,"Transaction 409",Groceries,-30.27
2022-09-03,"Transaction 410","Coffee Shops",-11.18
2024-01-25,"Transaction 411",Daycare,-35.92
2023-03-31,"Transaction 412",Income,960.81
2023-07-23,"Transaction 413","Dental Care",-13.79
2023-10-21,"Transaction 414","Dental Care",-34.77
2022-04-08,"Transaction 415",Entertainment,-15.15
2022-09-17,"Transaction 416",Daycare,-29.00
2023-01-08,"Transaction 417","Auto Loan",-36.50
2023-12-17,"Transaction 418",Daycare,-30.65
2022-07-27,"Transaction 419","Cable TV",-35.57
2023-06-04,"Transaction 420","Coffee Shops",-26.35
2024-02-18,"Transaction 421",Income,593.26
2023-12-10,"Transaction 422","Auto Loan",-12.55
2022-09-29,"Transaction 423",Entertainment,-46.85
2022-07-07,"Transaction 424",Daycare,-42.84
2022-01-21,"Transaction 425",Daycare,-45.25
2022-12-25,"Transaction 426","Cable TV",-33.04
2022-05-07,"Transaction 427",Daycare,-25.01
2023-01-28,"Transaction 428",Entertainment,-49.42
2022-01-29,"Transaction 429","Cable TV",-48.37
2022-02-22,"Transaction 430",Entertainment,-46.64
2023-09-18,"Transaction 431","Cable TV",-35.48
2023-04-10,"Transaction 432",Entertainment,-35.64
2023-03-14,"Transaction 433",Daycare,-43.00
2023-12-01,"Transaction 434","Cable TV",-45.19
2023-02-06,"Transaction 435",Daycare,-48.36
2023-11-26,"Transaction 436","Coffee Shops",-40.02
2024-01-25,"Transaction 437","Auto Loan",-10.59
2022-01-14,"Transaction 438",Daycare,-49.03
2022-03-10,"Transaction 439","Coffee Shops",-42.08
2022-02-16,"Transaction 440",Daycare,-16.20
2022-02-04,"Transaction 441",Entertainment,-49.06
2023-11-08,"Transaction 442","Auto Loan",-20.04
2022-03-06,"Transaction 443",Entertainment,-34.49
2023-09-05,"Transaction 444",Entertainment,-43.77
2024-02-19,"Transaction 445","Cable TV",-12.16
2024-01-23,"Transaction 446",Income,760.34
2022-11-23,"Transaction 447",Income,326.37
2022-01-31,"Transaction 448","Auto Loan",-48.16
2022-04-11,"Transaction 449",Income,591.54
2023-05-09,"Transaction 450","Cable TV",-37.96
2023-03-01,"Transaction 451","Auto Loan",-45.22
2022-07-10,"Transaction 452","Dental Care",-43.35
2022-08-08,"Transaction 453","Dental Care",-22.61
2023-01-25,"Transaction 454",Groceries,-26.74
2022-04-17,"Transaction 455",Daycare,-45.12
2022-04-22,"Transaction 456",Entertainment,-21.65
2022-08-30,"Transaction 457","Dental Care",-15.98
2022-01-16,"Transaction 458",Daycare,-19.78
2022-03-15,"Transaction 459",Entertainment,-10.92
2023-01-26,"Transaction 460",Entertainment,-47.42
2022-07-27,"Transaction 461",Entertainment,-36.16
2023-07-28,"Transaction 462",Entertainment,-42.63
2022-12-29,"Transaction 463",Groceries,-16.12
2022-11-23,"Transaction 464","Auto Loan",-27.25
2023-01-26,"Transaction 465","Coffee Shops",-45.93
2023-09-13,"Transaction 466",Entertainment,-29.95
2023-07-16,"Transaction 467",Daycare,-15.45
2022-03-04,"Transaction 468",Groceries,-27.37
2022-02-09,"Transaction 469",Entertainment,-11.28
2022-08-03,"Transaction 470","Auto Loan",-20.48
2023-06-27,"Transaction 471","Auto Loan",-42.08
2022-11-02,"Transaction 472","Dental Care",-11.79
2023-07-16,"Transaction 473",Entertainment,-18.60
2023-11-12,"Transaction 474","Auto Loan",-36.23
2023-12-21,"Transaction 475","Dental Care",-25.71
2022-09-13,"Transaction 476",Groceries,-22.88
2022-10-30,"Transaction 477",Income,904.14
2023-09-16,"Transaction 478",Groceries,-24.17
2023-06-24,"Transaction 479",Income,474.77
2022-02-16,"Transaction 480","Cable TV",-41.15
2023-09-30,"Transaction 481","Dental Care",-14.73
2022-10-14,"Transaction 482","Coffee Shops",-34.95
2023-10-16,"Transaction 483","Cable TV",-23.14
2023-01-30,"Transaction 484",Income,313.25
2023-06-01,"Transaction 485",Income,628.30
2023-08-06,"Transaction 486","Cable TV",-17.74
2022-06-23,"Transaction 487","Cable TV",-36.05
2022-01-02,"Transaction 488",Income,818.84
2022-08-06,"Transaction 489","Dental Care",-13.42
2023-07-21,"Transaction 490",Daycare,-23.84
2024-02-05,"Transaction 491","Auto Loan",-20.62
2022-03-27,"Transaction 492","Coffee Shops",-29.80
2022-08-13,"Transaction 493","Coffee Shops",-41.44
2022-01-07,"Transaction 494",Income,477.37
2023-04-28,"Transaction 495","Cable TV",-44.48
2022-08-30,"Transaction 496","Coffee Shops",-23.36
2022-02-03,"Transaction 497",Entertainment,-44.13
2022-11-18,"Transaction 498",Entertainment,-22.23
2022-07-25,"Transaction 499",Income,583.69
2022-02-14,"Transaction 500",Groceries,-15.85
2022-05-07,"Transaction 501",Daycare,-13.31
2022-10-16,"Transaction 502","Auto Loan",-23.42
2022-04-18,"Transaction 503","Cable TV",-47.24
2022-02-27,"Transaction 504","Cable TV",-25.90
2022-01-21,"Transaction 505",Daycare,-18.64
2022-11-14,"Transaction 506","Coffee Shops",-17.74
2022-09-25,"Transaction 507",Daycare,-40.35
2022-01-01,"Transaction 508",Income,685.26
2022-08-21,"Transaction 509",Income,697.82
2022-05-30,"Transaction 510","Coffee Shops",-42.87
2022-11-06,"Transaction 511","Cable TV",-48.20
2022-07-15,"Transaction 512",Groceries,-39.23
2022-06-22,"Transaction 513",Entertainment,-46.34
2022-09-05,"Transaction 514","Coffee Shops",-12.49
2022-01-19,"Transaction 515","Cable TV",-33.67
2023-03-24,"Transaction 516",Groceries,-29.59
2022-10-17,"Transaction 517",Entertainment,-27.55
2023-12-11,"Transaction 518",Entertainment,-27.63
2022-01-17,"Transaction 519",Groceries,-33.39
2023-10-05,"Transaction 520",Groceries,-36.17
2023-04-26,"Transaction 521","Auto Loan",-10.87
2022-02-26,"Transaction 522","Cable TV",-12.15
2023-07-07,"Transaction 523",Entertainment,-13.52
2023-12-02,"Transaction 524",Daycare,-13.47
2023-06-27,"Transaction 525",Income,205.95
2022-12-20,"Transaction 526",Income,952.97
2022-01-27,"Transaction 527","Cable TV",-22.86
2022-03-17,"Transaction 528","Cable TV",-16.23
2022-10-17,"Transaction 529","Coffee Shops",-31.08
2024-02-25,"Transaction 530","Dental Care",-20.30
2022-12-28,"Transaction 531",Groceries,-19.31
2022-03-14,"Transaction 532","Cable TV",-16.06
2022-09-15,"Transaction 533",Groceries,-35.43
2022-12-14,"Transaction 534","Dental Care",-14.55
2023-08-24,"Transaction 535",Income,789.17
2022-09-11,"Transaction 536","Auto Loan",-31.90
2022-04-07,"Transaction 537","Auto Loan",-23.89
2022-02-28,"Transaction 538",Daycare,-32.29
2024-01-23,"Transaction 539",Entertainment,-14.56
2022-04-19,"Transaction 540",Daycare,-14.56
2022-10-05,"Transaction 541","Coffee Shops",-36.41
2023-06-26,"Transaction 542","Cable TV",-44.53
2022-02-04,"Transaction 543",Daycare,-39.51
2022-06-20,"Transaction 544",Groceries,-35.30
2022-04-29,"Transaction 545","Auto Loan",-40.58
2023-04-17,"Transaction 546","Dental Care",-14.68
